wavelength,intensity
733.9140014648438,635
734.2169799804688,628
734.52001953125,637
734.822021484375,634
735.125,626
735.427978515625,631
735.7310180664062,630
736.0339965820312,628
736.3369750976562,629
736.6400146484375,623
736.9420166015625,621
737.2449951171875,621
737.5479736328125,626
737.8510131835938,624
738.1539916992188,629
738.4569702148438,628
738.7589721679688,630
739.06201171875,625
739.364990234375,614
739.6680297851562,624
739.9710083007812,632
740.2730102539062,635
740.5759887695312,630
740.8790283203125,631
741.1820068359375,618
741.4849853515625,626
741.7880249023438,617
742.0900268554688,629
742.3930053710938,635
742.6959838867188,629
742.9990234375,617
743.301025390625,630
743.60400390625,626
743.906982421875,631
744.2100219726562,626
744.5130004882812,634
744.8150024414062,623
745.1179809570312,625
745.4210205078125,621
745.7239990234375,627
746.0260009765625,617
746.3289794921875,621
746.6320190429688,622
746.9349975585938,642
747.2369995117188,621
747.5399780273438,616
747.843017578125,634
748.14599609375,627
748.447998046875,633
748.7509765625,620
749.0540161132812,630
749.3569946289062,623
749.6589965820312,631
749.9619750976562,626
750.2650146484375,628
750.5679931640625,629
750.8699951171875,627
751.1729736328125,619
751.4760131835938,631
751.7780151367188,624
752.0809936523438,628
752.3839721679688,631
752.68701171875,623
752.989013671875,623
753.2919921875,618
753.594970703125,620
753.89697265625,623
754.2000122070312,629
754.5029907226562,619
754.8049926757812,633
755.1079711914062,622
755.4110107421875,621
755.7139892578125,626
756.0159912109375,625
756.3189697265625,628
756.6220092773438,627
756.9240112304688,624
757.2269897460938,629
757.530029296875,618
757.8319702148438,628
758.135009765625,633
758.43798828125,632
758.739990234375,628
759.0430297851562,627
759.3460083007812,624
759.6480102539062,624
759.9509887695312,630
760.2529907226562,636
760.5560302734375,619
760.8590087890625,632
761.1610107421875,620
761.4639892578125,629
761.7670288085938,624
762.0689697265625,625
762.3720092773438,624
762.6749877929688,628
762.9769897460938,614
763.280029296875,622
763.5819702148438,626
763.885009765625,634
764.18798828125,634
764.489990234375,627
764.7930297851562,627
765.094970703125,617
765.3980102539062,635
765.7009887695312,633
766.0029907226562,627
766.3060302734375,627
766.6079711914062,622
766.9110107421875,635
767.2139892578125,624
767.5159912109375,633
767.8189697265625,623
768.1209716796875,637
768.4240112304688,623
768.7260131835938,626
769.0289916992188,626
769.3319702148438,619
769.6339721679688,628
769.93701171875,629
770.239013671875,617
770.5419921875,627
770.843994140625,619
771.14697265625,622
771.448974609375,630
771.7520141601562,624
772.0540161132812,623
772.3569946289062,629
772.6599731445312,633
772.9619750976562,627
773.2650146484375,616
773.5670166015625,619
773.8699951171875,620
774.1719970703125,632
774.4749755859375,627
774.7769775390625,638
775.0800170898438,621
775.3820190429688,630
775.6849975585938,624
775.9869995117188,631
776.2899780273438,633
776.5919799804688,612
776.89501953125,629
777.197021484375,624
777.5,629
777.802001953125,620
778.10498046875,638
778.406982421875,620
778.7100219726562,622
779.0120239257812,636
779.3150024414062,622
779.6170043945312,619
779.9199829101562,614
780.2219848632812,625
780.5239868164062,620
780.8270263671875,627
781.1290283203125,623
781.4320068359375,625
781.7340087890625,614
782.0369873046875,638
782.3389892578125,625
782.6420288085938,617
782.9439697265625,640
783.2470092773438,635
783.5490112304688,633
783.8510131835938,630
784.1539916992188,638
784.4559936523438,630
784.7589721679688,613
785.0609741210938,634
785.3629760742188,621
785.666015625,637
785.968017578125,629
786.27099609375,618
786.572998046875,625
786.8759765625,636
787.177978515625,628
787.47998046875,626
787.7830200195312,621
788.0850219726562,634
788.3880004882812,630
788.6900024414062,630
788.9920043945312,627
789.2949829101562,624
789.5969848632812,621
789.8989868164062,629
790.2020263671875,631
790.5040283203125,629
790.8070068359375,626
791.1090087890625,632
791.4110107421875,620
